movie_name,year,runtime(min),genre,rating,metascore,votes,gross($)(M),rank
The Bridge on the River Kwai,1957,161,"Adventure, Drama, War",8.2,87,221930,44.91,165
Dial M for Murder,1954,105,"Crime, Thriller",8.2,75,177066,0.01,162
Tôkyô monogatari,1953,136,Drama,8.2,,62465,,208
Le salaire de la peur,1953,131,"Adventure, Drama, Thriller",8.2,85,61883,,192
Rashômon,1950,88,"Crime, Drama, Mystery",8.2,98,169593,0.10,150
All About Eve,1950,138,Drama,8.2,98,132179,0.01,131
The Treasure of the Sierra Madre,1948,126,"Adventure, Drama, Western",8.2,98,125807,5.01,146
To Be or Not to Be,1942,99,"Comedy, Romance, War",8.2,86,38046,,227
Gone with the Wind,1939,238,"Drama, Romance, War",8.2,97,316729,198.68,159
La passion de Jeanne d'Arc,1928,110,"Biography, Drama, History",8.2,,55580,0.02,207
The General,1926,67,"Action, Adventure, Comedy",8.2,,92264,1.03,186
The Gold Rush,1925,95,"Adventure, Comedy, Drama",8.2,,112200,5.45,177
Sherlock Jr.,1924,45,"Action, Comedy, Romance",8.2,,50775,0.98,194
Everything Everywhere All at Once,2022,139,"Action, Adventure, Comedy",8.1,81,254941,,246
"Three Billboards Outside Ebbing, Missouri",2017,115,"Comedy, Crime, Drama",8.1,88,507670,54.51,166
Klaus,2019,96,"Animation, Adventure, Comedy",8.1,65,153359,,190
Ah-ga-ssi,2016,145,"Drama, Romance, Thriller",8.1,84,148749,2.01,240
Logan,2017,137,"Action, Drama, Sci-Fi",8.1,77,763133,226.28,217
Room, 2015,118,"Drama, Thriller",8.1,86,421873,14.68,200
Relatos salvajes,2014,122,"Comedy, Drama, Thriller",8.1,77,199517,3.11,197
The Grand Budapest Hotel,2014,99,"Adventure, Comedy, Crime",8.1,88,809414,59.10,187
Gone Girl,2014,149,"Drama, Mystery, Thriller",8.1,79,982112,167.77,184
Hacksaw Ridge,2016,139,"Biography, Drama, History",8.1,71,526229,67.21,193
12 Years a Slave,2013,134,"Biography, Drama, History",8.1,96,701829,56.67,180
Rush, 2013,123,"Action, Biography, Drama",8.1,74,481032,26.95,218
Ford v Ferrari,2019,152,"Action, Biography, Drama",8.1,81,394158,117.62,210
Spotlight, 2015,129,"Biography, Crime, Drama",8.1,93,470955,45.06,213
The Help,2011,146,Drama,8.1,62,460540,169.71,248
Prisoners,2013,153,"Crime, Drama, Mystery",8.1,70,713496,61.00,170
Mad Max: Fury Road,2015,120,"Action, Adventure, Sci-Fi",8.1,90,1001857,154.06,199
Gran Torino,2008,116,Drama,8.1,72,776671,148.10,171
Harry Potter and the Deathly Hallows - Part 2,2011,130,"Adventure, Family, Fantasy",8.1,85,874686,381.01,181
Hachi: A Dog's Tale,2009,93,"Biography, Drama, Family",8.1,,286364,,231
Mary and Max.,2009,92,"Animation, Comedy, Drama",8.1,,178137,,201
How to Train Your Dragon,2010,98,"Animation, Action, Adventure",8.1,75,740636,217.58,202
Into the Wild,2007,148,"Adventure, Biography, Drama",8.1,73,624369,18.35,221
Million Dollar Baby,2004,132,"Drama, Sport",8.1,86,688290,100.49,174
Hotel Rwanda,2004,121,"Biography, Drama, History",8.1,79,356792,23.53,209
Ratatouille,2007,111,"Animation, Adventure, Comedy",8.1,96,737003,206.45,216
Before Sunset,2004,80,"Drama, Romance",8.1,90,265533,5.82,223
Salinui chueok,2003,131,"Crime, Drama, Mystery",8.1,82,185587,0.01,196
Pirates of the Caribbean: The Curse of the Black Pearl,2003,143,"Action, Adventure, Fantasy",8.1,63,1126812,305.41,234
Catch Me If You Can,2002,141,"Biography, Crime, Drama",8.1,75,981558,164.62,173
Amores perros,2000,154,"Drama, Thriller",8.1,83,241599,5.38,237
"Monsters, Inc.",2001,92,"Animation, Adventure, Comedy",8.1,79,908907,289.92,203
The Iron Giant,1999,86,"Animation, Action, Adventure",8.1,85,199741,23.16,247
The Big Lebowski,1998,117,"Comedy, Crime",8.1,71,809328,17.50,204
Trainspotting,1996,93,Drama,8.1,83,688226,16.50,167
Fargo,1996,98,"Crime, Thriller",8.1,85,679035,24.61,169
La haine,1995,98,"Crime, Drama",8.1,,175137,0.31,232
Before Sunrise,1995,101,"Drama, Romance",8.1,77,309572,5.54,179
In the Name of the Father,1993,133,"Biography, Crime, Drama",8.1,84,176291,25.01,189
Groundhog Day,1993,101,"Comedy, Drama, Fantasy",8.1,72,632479,70.91,224
Dead Poets Society,1989,128,"Comedy, Drama",8.1,79,492082,95.86,206
Tonari no Totoro,1988,86,"Animation, Comedy, Family",8.1,86,340454,1.11,172
Stand by Me,1986,89,"Adventure, Drama",8.1,75,405422,52.29,215
Platoon,1986,120,"Drama, War",8.1,92,415672,138.53,212
The Terminator,1984,107,"Action, Sci-Fi",8.1,84,865446,38.40,214
Gandhi,1982,191,"Biography, Drama, History",8.1,79,232738,52.77,250
Blade Runner,1982,117,"Action, Drama, Sci-Fi",8.1,84,770398,32.87,176
The Deer Hunter,1978,183,"Drama, War",8.1,86,340648,48.98,188
Rocky,1976,120,"Drama, Sport",8.1,70,577025,117.24,211
Network,1976,121,Drama,8.1,83,160629,,220
Jaws,1975,124,"Adventure, Thriller",8.1,87,607447,260.00,205
Barry Lyndon,1975,185,"Adventure, Drama, War",8.1,89,169337,,191
The Exorcist,1973,122,Horror,8.1,81,409800,232.91,226
Cool Hand Luke,1967,127,"Crime, Drama",8.1,92,178408,16.22,238
Persona,1966,85,"Drama, Thriller",8.1,86,119859,,241
The Sound of Music,1965,172,"Biography, Drama, Family",8.1,63,236132,163.21,242
La battaglia di Algeri,1966,121,"Drama, War",8.1,96,60858,0.06,230
Les quatre cents coups,1959,99,"Crime, Drama",8.1,,119009,,239
Ben-Hur,1959,212,"Adventure, Drama",8.1,90,240317,74.70,182
Smultronstället,1957,91,"Drama, Romance",8.1,88,108216,,183
Det sjunde inseglet,1957,96,"Drama, Fantasy",8.1,88,186342,,198
On the Waterfront,1954,108,"Crime, Drama, Thriller",8.1,91,156162,9.60,178
The Third Man,1949,104,"Film-Noir, Mystery, Thriller",8.1,97,172666,0.45,185
The Best Years of Our Lives,1946,170,"Drama, Romance, War",8.1,93,65317,23.65,225
Rebecca,1940,130,"Drama, Film-Noir, Mystery",8.1,86,138220,4.36,236
The Grapes of Wrath,1940,129,Drama,8.1,96,94052,0.06,235
The Wizard of Oz,1939,102,"Adventure, Family, Fantasy",8.1,92,401352,2.08,222
Mr. Smith Goes to Washington,1939,129,"Comedy, Drama",8.1,73,116439,9.60,195
It Happened One Night,1934,105,"Comedy, Romance",8.1,87,104917,4.36,243
The Incredibles,2004,115,"Animation, Action, Adventure",8.0,90,738019,261.44,228
Aladdin,1992,90,"Animation, Adventure, Comedy",8.0,86,421362,217.35,249
Life of Brian,1979,94,Comedy,8.0,77,401087,20.05,244
